"";"Status";"Credit.history";"Purpose";"Savings.account";"Installment.rate";"Personal.status.and.sex";"Number.of.existing.credits";"Job";"Number.of.people";"foreign.worker";"Class"
"597";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"598";"0-200 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";1;"male: single";3;"unskilled - resident";1;"yes";2
"599";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"600";"no checking account";"delay in paying off in the past";"business";"<100 DM";1;"male: single";1;"skilled employee / official";1;"yes";1
"601";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"602";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"603";"0-200 DM";"all credits at this bank paid back duly";"(vacation - does not exist?)";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"604";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"605";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"606";"<0 DM";"all credits at this bank paid back duly";"radio/television";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"607";"no checking account";"critical account/other credits existing (not at this bank)";"business";"<100 DM";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"608";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"609";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"610";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";2;"yes";1
"611";"<0 DM";"existing credits paid back duly till now";"repairs";"100-500 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"612";">=200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";1;"female: divorced/separated/married";1;"unskilled - resident";2;"yes";2
"613";"<0 DM";"existing credits paid back duly till now";"domestic appliances";">=1000 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"614";"<0 DM";"all credits at this bank paid back duly";"car (used)";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"no";1
"615";"no checking account";"delay in paying off in the past";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"616";"0-200 DM";"no credits taken/all credits paid back duly";"business";"unknown/ no savings account";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"617";"0-200 DM";"delay in paying off in the past";"domestic appliances";"unknown/ no savings account";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"618";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";3;"skilled employee / official";2;"yes";1
"619";"0-200 DM";"existing credits paid back duly till now";"radio/television";"100-500 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"620";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: divorced/separated";1;"unskilled - resident";1;"yes";1
"621";"0-200 DM";"critical account/other credits existing (not at this bank)";"business";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"622";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";2
"623";"no checking account";"existing credits paid back duly till now";"business";"unknown/ no savings account";4;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"624";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"625";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"626";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"627";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"628";"0-200 DM";"all credits at this bank paid back duly";"car (new)";"100-500 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"629";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"500-1000 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"630";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"unknown/ no savings account";1;"male: single";1;"unskilled - resident";1;"yes";1
"631";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"632";"<0 DM";"all credits at this bank paid back duly";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"633";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"634";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"635";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"636";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"male: single";3;"skilled employee / official";2;"yes";1
"637";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"638";"no checking account";"delay in paying off in the past";"domestic appliances";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"639";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";2;"yes";1
"640";"<0 DM";"delay in paying off in the past";"domestic appliances";"<100 DM";3;"male: single";2;"skilled employee / official";2;"yes";2
"641";"<0 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";2
"642";"0-200 DM";"existing credits paid back duly till now";"education";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"643";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"100-500 DM";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"644";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"645";"<0 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: married/widowed";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"646";"no checking account";"delay in paying off in the past";"business";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";2
"647";"<0 DM";"no credits taken/all credits paid back duly";"radio/television";"<100 DM";2;"male: divorced/separated";2;"skilled employee / official";1;"yes";1
"648";"no checking account";"existing credits paid back duly till now";"car (new)";"500-1000 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"649";">=200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";2
"650";"<0 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"unskilled - resident";2;"yes";2
"651";"<0 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"652";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";2
"653";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"654";"0-200 DM";"delay in paying off in the past";"car (new)";"100-500 DM";2;"male: single";4;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"655";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"656";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"male: single";1;"skilled employee / official";1;"yes";1
"657";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"unskilled - resident";2;"yes";2
"658";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"659";"0-200 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"660";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"661";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"662";"<0 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"663";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"664";"0-200 DM";"delay in paying off in the past";"radio/television";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"665";">=200 DM";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"666";"no checking account";"critical account/other credits existing (not at this bank)";"furniture/equipment";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"667";"0-200 DM";"all credits at this bank paid back duly";"radio/television";">=1000 DM";4;"male: single";1;"skilled employee / official";2;"yes";1
"668";"no checking account";"all credits at this bank paid back duly";"business";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"669";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";2
"670";">=200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"671";"no checking account";"critical account/other credits existing (not at this bank)";"business";"100-500 DM";3;"male: single";2;"unskilled - resident";1;"yes";1
"672";"no checking account";"existing credits paid back duly till now";"business";"100-500 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"673";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"674";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"500-1000 DM";1;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"675";"no checking account";"delay in paying off in the past";"business";"500-1000 DM";4;"male: single";1;"unskilled - resident";2;"yes";2
"676";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"677";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"678";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";2;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"679";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";1
"680";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"681";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"682";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"683";"no checking account";"delay in paying off in the past";"domestic appliances";"<100 DM";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"684";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";3;"male: married/widowed";3;"skilled employee / official";1;"yes";1
"685";"0-200 DM";"delay in paying off in the past";"business";"100-500 DM";1;"male: single";2;"unskilled - resident";2;"yes";1
"686";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";2;"yes";1
"687";">=200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"688";"0-200 DM";"delay in paying off in the past";"car (new)";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"689";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"690";"<0 DM";"existing credits paid back duly till now";"car (new)";">=1000 DM";1;"male: single";1;"skilled employee / official";2;"yes";1
"691";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"male: divorced/separated";2;"skilled employee / official";1;"yes";1
"692";"0-200 DM";"existing credits paid back duly till now";"education";"100-500 DM";3;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"693";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"694";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"unknown/ no savings account";1;"male: single";2;"unskilled - resident";2;"yes";1
"695";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"696";"no checking account";"existing credits paid back duly till now";"car (used)";"500-1000 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"697";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"no";1
"698";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"699";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"700";">=200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"701";"no checking account";"existing credits paid back duly till now";"radio/television";"500-1000 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"702";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"703";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"704";"0-200 DM";"delay in paying off in the past";"business";"100-500 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"705";"0-200 DM";"existing credits paid back duly till now";"business";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";2;"yes";1
"706";"no checking account";"existing credits paid back duly till now";"car (new)";"500-1000 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"707";"0-200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";3;"male: single";1;"skilled employee / official";1;"yes";2
"708";"0-200 DM";"no credits taken/all credits paid back duly";"radio/television";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"709";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"710";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: single";1;"unskilled - resident";2;"yes";1
"711";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"500-1000 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"712";"<0 DM";"all credits at this bank paid back duly";"(vacation - does not exist?)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"713";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"714";"<0 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"715";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"716";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";1;"male: single";2;"skilled employee / official";1;"yes";1
"717";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";3;"male: single";2;"skilled employee / official";2;"yes";1
"718";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"719";">=200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";3;"male: single";2;"skilled employee / official";1;"yes";1
"720";"0-200 DM";"no credits taken/all credits paid back duly";"car (used)";"100-500 DM";3;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"721";">=200 DM";"no credits taken/all credits paid back duly";"domestic appliances";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"722";"0-200 DM";"all credits at this bank paid back duly";"(vacation - does not exist?)";">=1000 DM";4;"female: divorced/separated/married";1;"skilled employee / official";2;"yes";2
"723";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"724";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"725";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"726";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";">=1000 DM";2;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"727";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"500-1000 DM";2;"male: married/widowed";2;"unskilled - resident";1;"yes";1
"728";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"729";"0-200 DM";"all credits at this bank paid back duly";"business";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"730";">=200 DM";"critical account/other credits existing (not at this bank)";"business";">=1000 DM";2;"male: divorced/separated";2;"skilled employee / official";1;"yes";1
"731";"0-200 DM";"delay in paying off in the past";"domestic appliances";"<100 DM";1;"male: single";1;"skilled employee / official";1;"yes";1
"732";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: single";1;"unskilled - resident";2;"yes";2
"733";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"734";"no checking account";"existing credits paid back duly till now";"car (used)";">=1000 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"735";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";2;"yes";1
"736";"0-200 DM";"all credits at this bank paid back duly";"repairs";"unknown/ no savings account";3;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"737";"0-200 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";1;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"738";"<0 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";3;"male: single";1;"unskilled - resident";2;"yes";1
"739";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"740";"0-200 DM";"no credits taken/all credits paid back duly";"business";"100-500 DM";4;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";2
"741";"<0 DM";"all credits at this bank paid back duly";"car (new)";"100-500 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"742";"0-200 DM";"all credits at this bank paid back duly";"domestic appliances";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";1
"743";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"744";"<0 DM";"all credits at this bank paid back duly";"radio/television";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"745";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"unknown/ no savings account";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"746";"<0 DM";"critical account/other credits existing (not at this bank)";"business";"<100 DM";3;"male: single";2;"unskilled - resident";1;"yes";1
"747";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"748";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"749";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";1;"male: single";1;"skilled employee / official";1;"yes";1
"750";"no checking account";"existing credits paid back duly till now";"car (used)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"751";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"752";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"753";"0-200 DM";"existing credits paid back duly till now";"business";"100-500 DM";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"754";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"755";"no checking account";"delay in paying off in the past";"education";">=1000 DM";4;"male: single";2;"skilled employee / official";2;"yes";2
"756";"<0 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"757";">=200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";3;"unemployed/ unskilled  - non-resident";2;"no";1
"758";">=200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";3;"male: single";2;"skilled employee / official";1;"yes";2
"759";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"760";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"761";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"unknown/ no savings account";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"762";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"763";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";1
"764";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"765";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"100-500 DM";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"766";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: married/widowed";2;"unskilled - resident";1;"yes";1
"767";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: divorced/separated";1;"unskilled - resident";1;"yes";2
"768";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"769";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";1;"male: single";3;"skilled employee / official";1;"yes";1
"770";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"male: single";2;"unskilled - resident";1;"yes";1
"771";"<0 DM";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"772";"<0 DM";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";3;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"773";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";1;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"774";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"100-500 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"775";">=200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"500-1000 DM";2;"male: single";3;"unemployed/ unskilled  - non-resident";1;"yes";1
"776";"<0 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"777";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"778";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"779";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";">=1000 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"780";"0-200 DM";"existing credits paid back duly till now";"education";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"781";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"782";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";">=1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"783";"0-200 DM";"no credits taken/all credits paid back duly";"retraining";"<100 DM";2;"male: single";1;"unskilled - resident";1;"yes";1
"784";"0-200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"785";"0-200 DM";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";1;"male: divorced/separated";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"786";"0-200 DM";"existing credits paid back duly till now";"business";">=1000 DM";4;"male: single";1;"unskilled - resident";1;"yes";1
"787";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"788";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";2;"yes";1
"789";"0-200 DM";"delay in paying off in the past";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"790";"<0 DM";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"791";"0-200 DM";"existing credits paid back duly till now";"business";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";2;"yes";2
"792";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"793";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"unknown/ no savings account";1;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"794";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"795";"no checking account";"existing credits paid back duly till now";"radio/television";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
